episode,timestep,reward
19,1000,-1001.0033
41,2000,-1000.9686
57,3000,-1001.1573
73,4000,-1001.125
84,5000,-1001.4266
96,6000,-1001.3619
109,7000,-1001.1363
120,8000,-1001.3433
131,9000,-1001.2315
141,10000,-1001.4254
150,11000,-1001.7086
159,12000,-1001.3951
170,13000,-1001.6085
179,14000,-1001.1362
183,15000,-751.8626
186,16000,-668.0393
192,17000,-1001.7208
197,18000,-801.7866
201,19000,-1001.7972
203,20000,-500.9232
205,21000,-502.6808
207,22000,-0.5163
209,23000,-1.1696
211,24000,-0.8495
216,25000,-600.7449
223,26000,-1000.9554
227,27000,-1001.161
231,28000,-751.1713
233,29000,-0.8133
235,30000,-0.4285
237,31000,-0.3581
240,32000,-667.6133
242,33000,-501.1272
244,34000,-501.1111
247,35000,-334.1809
250,36000,-334.2204
252,37000,-0.6792
254,38000,-501.2344
256,39000,-0.5187
259,40000,-334.0918
261,41000,-0.6874
263,42000,-0.445
265,43000,-0.568
268,44000,-333.9341
270,45000,-1.1046
272,46000,-0.3294
274,47000,-0.6727
276,48000,-0.7839
279,49000,-667.9215
281,50000,-501.0191
283,51000,-0.6089
286,52000,-334.4731
289,53000,-667.8741
292,54000,-667.8825
294,55000,-501.3711
296,56000,-1.4088
298,57000,-0.3728
300,58000,-0.4804
302,59000,-1.3495
306,60000,-500.9387
308,61000,-0.9071
310,62000,-0.8082
312,63000,-0.3102
314,64000,-1.2889
317,65000,-334.3127
319,66000,-0.6176
321,67000,-0.4589
323,68000,-0.432
325,69000,-500.9621
328,70000,-334.2195
331,71000,-334.657
333,72000,-1.2985
335,73000,-500.9753
337,74000,-0.5659
340,75000,-334.5201
342,76000,-0.2377
344,77000,-0.7347
346,78000,-0.9019
348,79000,-0.6209
350,80000,-0.1561
352,81000,-0.7118
354,82000,-0.3772
356,83000,-0.6756
358,84000,-500.5736
360,85000,-0.5641
363,86000,-334.2463
366,87000,-334.1441
368,88000,-500.7843
370,89000,-0.6982
373,90000,-334.1848
376,91000,-334.2665
378,92000,-0.683
380,93000,-501.1249
382,94000,-0.5967
384,95000,-0.5443
386,96000,-0.1988
388,97000,-0.6508
390,98000,-0.7849
393,99000,-334.3027
395,100000,-501.1662
397,101000,-0.7752
400,102000,-334.2057
402,103000,-0.2156
405,104000,-333.994
407,105000,-0.1054
409,106000,-0.7397
411,107000,-0.7569
413,108000,-0.6572
415,109000,-0.3033
417,110000,-0.4069
419,111000,-0.6031
422,112000,-334.0419
424,113000,-500.762
426,114000,-0.5924
428,115000,-0.2155
430,116000,-0.3776
434,117000,-500.7709
436,118000,-500.7268
438,119000,-0.3447
440,120000,-0.4067
442,121000,-0.4523
445,122000,-333.9458
447,123000,-0.3834
449,124000,-500.7681
452,125000,-333.9449
455,126000,-667.5998
458,127000,-334.0248
461,128000,-333.8172
463,129000,-500.8556
465,130000,-0.2669
468,131000,-334.1242
470,132000,-0.4931
474,133000,-500.7124
476,134000,-0.4573
480,135000,-750.9865
482,136000,-500.8426
487,137000,-801.0101
490,138000,-333.9409
492,139000,-0.1616
495,140000,-667.5624
497,141000,-0.3168
499,142000,-0.4187
502,143000,-334.0791
504,144000,-500.68
509,145000,-801.0843
511,146000,-0.3057
513,147000,-0.5262
515,148000,-0.1112
517,149000,-0.2637
519,150000,-0.1773
521,151000,-0.1941
523,152000,-0.4425
526,153000,-333.7857
528,154000,-0.19
531,155000,-667.4477
537,156000,-834.302
539,157000,-500.5659
541,158000,-0.0735
545,159000,-500.6474
547,160000,-0.0881
549,161000,-1.0614
551,162000,-0.996
553,163000,-0.9457
555,164000,-0.7843
557,165000,-0.0761
559,166000,-0.5212
561,167000,-0.5316
563,168000,-0.5134
565,169000,-0.6279
567,170000,-0.829
569,171000,-0.7082
571,172000,-501.1574
573,173000,-0.8106
575,174000,-0.5291
577,175000,-0.1621
579,176000,-0.7278
581,177000,-0.823
584,178000,-334.0837
586,179000,-0.0635
588,180000,-501.0516
590,181000,-0.5977
592,182000,-0.3126
594,183000,-0.6035
596,184000,-0.5504
598,185000,-0.0761
601,186000,-334.0265
603,187000,-0.8985
605,188000,-0.4916
607,189000,-0.4949
609,190000,-0.2579
611,191000,-0.2053
614,192000,-334.038
616,193000,-0.4439
618,194000,-0.5807
620,195000,-0.121
622,196000,-0.2902
624,197000,-501.0003
626,198000,-0.0671
628,199000,-0.3872
631,200000,-334.0092
