episode,timestep,raw_reward
1,70,-1021.8159475985991
2,147,-1018.937496915427
3,198,-1018.8409443286384
4,256,-1018.5829852879123
5,314,-1018.3438566103177
6,388,-1017.9591982127854
7,442,-1019.2515594311519
8,528,-1017.8353905452481
9,609,-1018.5719984187689
10,674,-1017.9419083226466
11,723,-1017.9479728510181
12,812,-1017.9703882060428
13,865,-1018.6198044420044
14,1082,-1032.4236500482964
15,1155,-1017.3210912335325
16,1229,-1018.9445843061611
17,1308,-1018.1592443199054
18,1375,-1018.6789092822997
19,1457,-1018.1896333936033
20,1513,-1018.6521507691929
21,1585,-1018.313538813601
22,1767,-1034.0609098810185
23,1821,-1018.1783432770235
24,1883,-1019.1356098977751
25,1962,-1018.6191713579642
26,2040,-1018.3614117893687
27,2102,-1017.4965634414638
28,2170,-1017.5962199406115
29,2280,-1020.7709378187004
30,2345,-1017.9963593688452
31,2408,-1018.3750562492864
32,2755,-1029.2654078758299
33,2828,-1018.2409693982923
34,2915,-1018.0841244440999
35,3000,-1018.0106235998622
36,3064,-1018.4377638876587
37,3186,-1020.3310092047617
38,3245,-1018.4772160651905
39,3320,-1018.8738187554968
40,3377,-1018.1844579660705
41,3448,-1017.5728166872944
42,3515,-1018.8611652358995
43,3687,-1024.3626896787057
44,3779,-1017.4709510791703
45,3857,-1018.1042866564235
46,3916,-1017.9176415779154
47,3977,-1018.1848062906428
48,4064,-1018.2937531790153
49,4127,-1018.3066980080789
50,4190,-1018.6291077349115
51,4240,-1017.7161741312656
52,4308,-1018.253058575973
53,4369,-1017.5670606525034
54,4482,-1018.8816298201683
55,4540,-1017.8054641443582
56,4631,-1017.85845271869
57,4820,-1026.6816631704305
58,4899,-1019.3138958904182
59,4953,-1018.4091821106582
60,5104,-1020.1991158440832
61,5325,-1031.587689456751
62,5395,-1017.3983990886403
63,5469,-1019.5318531359646
64,5572,-1020.0998315656744
65,5750,-1033.8322238902745
66,5914,-1024.309078563879
67,6034,-1020.4260633468872
68,6141,-1018.3870891013847
69,6198,-1018.0834580209505
70,6275,-1018.1813609405983
71,6330,-1018.3033889627576
72,6385,-1019.3930386307502
73,6553,-1022.0268147821371
74,6616,-1019.2216497559264
75,6732,-1017.9872816023512
76,6861,-1020.5138131724595
77,6951,-1018.7658480895047
78,7013,-1018.2557652168773
79,7130,-1018.5633280072761
80,7471,-1029.9912284815773
81,7562,-1017.8044053905129
82,7644,-1017.7504962064336
83,7812,-1031.8972075705676
84,7901,-1018.8354937887899
85,7957,-1018.3645524215872
86,8027,-1020.2188141557085
87,8163,-1020.9142847533079
88,8228,-1020.8295410510083
89,8351,-1019.5446901532989
90,8497,-1036.5532709559443
91,8559,-1018.8190535882541
92,8641,-1018.5329842580934
93,8756,-1020.4553992275886
94,8935,-1024.7122248551136
95,9154,-1022.1156593941171
96,9311,-1019.9107516190033
97,9525,-1023.7443913566748
98,9596,-1017.9543650112455
99,9735,-1021.7243613987655
100,9808,-1018.5361334940543
101,9907,-1018.4490055227735
102,10057,-1020.5744666174733
103,10214,-1020.8276351667909
104,10275,-1019.5289750311942
105,10330,-1019.5529356217975
106,10407,-1020.6782397812491
107,10516,-1018.8710677191013
108,10652,-1021.50143407737
109,10777,-1021.257911290139
110,10923,-1023.1135106696884
111,11029,-1018.8311461637715
112,11147,-1019.7184074604744
113,11211,-1018.5037310071232
114,11332,-1018.5651626008247
115,11505,-1021.9213172225968
116,11636,-1030.1456104622907
117,11704,-1018.2039458819536
118,11978,-1029.1372617991935
119,12148,-1026.3347969671686
120,12339,-1033.0705421075054
121,12438,-1021.8821502028785
122,12654,-1025.5223094317691
123,12836,-1023.8974745839075
124,12999,-1034.2318493864864
125,13216,-1026.7101633898124
126,13347,-1020.5570142449309
127,13468,-1018.1938957954671
128,13609,-1021.0225728585792
129,13722,-1019.8639544586542
130,13796,-1020.6887796947899
131,13952,-1020.0056529878343
132,14135,-1033.7854579437349
133,14243,-1019.8828526821961
134,14383,-1022.1431379235289
135,14611,-1028.0021020526965
136,14788,-1024.5592016715598
137,15039,-1021.6204183100136
138,15173,-1018.6359264402474
139,15299,-1034.2245179448867
140,15461,-1018.9492311578509
141,15592,-1020.0535267028282
142,15770,-1033.0823472973161
143,15905,-1019.5176234395582
144,16080,-1034.5796451811857
145,16234,-1023.951397868301
146,16351,-1020.1485559484379
